n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,test_score,train_score
100,20,5,1,log2,6097136.048226611,1117.6502949030905,2469.2379488875936,0.988156848214478,0.988156848214478,0.9938519788623693
100,20,5,2,sqrt,6229701.768495081,1144.147772319094,2495.937052190035,0.9878993509347259,0.9878993509347259,0.9927216038837727
100,20,5,2,log2,6229701.768495081,1144.147772319094,2495.937052190035,0.9878993509347259,0.9878993509347259,0.9927216038837727
100,20,5,10,sqrt,7355778.123005523,1344.863179231873,2712.153779380056,0.9857120464227275,0.9857120464227275,0.9872786147702338
100,20,5,10,log2,7355778.123005523,1344.863179231873,2712.153779380056,0.9857120464227275,0.9857120464227275,0.9872786147702338
100,20,20,1,sqrt,6426774.680669741,1211.7610746746404,2535.108415959708,0.9875165540948263,0.9875165540948263,0.9900381448421108
100,20,20,1,log2,6426774.680669741,1211.7610746746404,2535.108415959708,0.9875165540948263,0.9875165540948263,0.9900381448421108
100,20,20,2,sqrt,6565070.453071725,1224.3653870346382,2562.239343439977,0.9872479266915836,0.9872479266915836,0.9896624148940205
100,20,20,2,log2,6565070.453071725,1224.3653870346382,2562.239343439977,0.9872479266915836,0.9872479266915836,0.9896624148940205
100,20,20,10,sqrt,7355778.123005523,1344.863179231873,2712.153779380056,0.9857120464227275,0.9857120464227275,0.9872786147702338
100,20,20,10,log2,7355778.123005523,1344.863179231873,2712.153779380056,0.9857120464227275,0.9857120464227275,0.9872786147702338
200,,2,1,sqrt,6246228.289942805,979.766162206477,2499.245544147834,0.9878672496169196,0.9878672496169196,0.9982348171536275
200,,2,1,log2,6246228.289942805,979.766162206477,2499.245544147834,0.9878672496169196,0.9878672496169196,0.9982348171536275
200,,2,2,sqrt,6024711.9729547715,1034.7082902470322,2454.5288698556333,0.988297525625903,0.988297525625903,0.9945892450461367
200,,2,2,log2,6024711.9729547715,1034.7082902470322,2454.5288698556333,0.988297525625903,0.988297525625903,0.9945892450461367
200,,2,10,sqrt,7096854.570871183,1293.640553322814,2663.992224251261,0.9862149827037155,0.9862149827037155,0.9878520886732726
200,,2,10,log2,7096854.570871183,1293.640553322814,2663.992224251261,0.9862149827037155,0.9862149827037155,0.9878520886732726
200,,5,1,sqrt,5967429.799171877,1006.796544233077,2442.8323313669885,0.9884087912222993,0.9884087912222993,0.9956537297471474
200,,5,1,log2,5967429.799171877,1006.796544233077,2442.8323313669885,0.9884087912222993,0.9884087912222993,0.9956537297471474
